Order_ID,Company,City,Customer_Age,Order_Value,Delivery_Time_Min,Distance_Km,Items_Count,Product_Category,Payment_Method,Customer_Rating,Discount_Applied,Delivery_Partner_Rating,Order_Timestamp,Order_Hour,Order_DayOfWeek,Order_Month,Order_Quarter,Mumbai_Zone,Dark_Store_ID,Pincode,Rider_ID,Delivery_Cost,Discount_Amount,Discount_Pct,COGS_Proxy,COGS_Amount,Profit,Profit_Margin_Pct,Is_Peak_Hour,Basket_Size_Tier,Churn_Risk_Flag,Is_On_Time,Stockout_Risk,Is_Loss_Making,Is_Long_Distance
1131455,Zepto,Mumbai,39,1005,9,5.1,12,Fruits & Vegetables,Cash on Delivery,2,1,4,2023-01-01 00:49:40,0,Sunday,2023-01,2023Q1,Dadar,DS_008,400014,R_185,66.2,257.38,25.6,0.68,683.4,-1.98,-0.2,False,Large,True,True,False,True,True
1075897,Zepto,Mumbai,41,50,8,7.1,4,Groceries,Cash on Delivery,2,1,5,2023-01-01 05:27:12,5,Sunday,2023-01,2023Q1,Thane,DS_004,400601,R_083,90.2,3.12,6.2,0.65,32.5,-75.82,-151.64,False,Medium,True,True,False,True,True
1481467,Blinkit,Mumbai,44,1338,15,7.6,3,Dairy,Wallet,3,1,4,2023-01-01 07:45:36,7,Sunday,2023-01,2023Q1,Kurla,DS_005,400070,R_114,96.2,382.95,28.6,0.62,829.56,29.29,2.19,False,Small,False,True,False,False,True
1012662,Blinkit,Mumbai,30,832,16,9.1,2,Dairy,Credit Card,4,0,3,2023-01-01 09:19:18,9,Sunday,2023-01,2023Q1,Kurla,DS_005,400070,R_104,114.2,0.0,0.0,0.62,515.84,201.96,24.27,False,Small,False,False,False,False,True
1249367,Zepto,Mumbai,39,702,8,0.9,1,Beverages,Cash on Delivery,3,0,5,2023-01-01 11:03:42,11,Sunday,2023-01,2023Q1,Colaba,DS_012,400005,R_276,15.8,0.0,0.0,0.55,386.1,300.1,42.75,False,Small,False,True,False,False,False
1699027,Blinkit,Mumbai,31,324,17,6.8,8,Dairy,UPI,4,1,4,2023-01-01 11:18:43,11,Sunday,2023-01,2023Q1,Juhu,DS_009,400049,R_212,86.6,111.82,34.5,0.62,200.88,-75.3,-23.24,False,Large,False,False,False,True,True
1465226,Zepto,Mumbai,47,402,11,9.1,14,Dairy,Wallet,5,0,3,2023-01-01 11:21:11,11,Sunday,2023-01,2023Q1,Andheri,DS_001,400053,R_001,114.2,0.0,0.0,0.62,249.24,38.56,9.59,False,Large,False,True,False,False,True
1507375,Blinkit,Mumbai,32,380,21,13.8,10,Fruits & Vegetables,UPI,4,0,4,2023-01-01 11:51:08,11,Sunday,2023-01,2023Q1,Kurla,DS_005,400070,R_123,170.6,0.0,0.0,0.68,258.4,-49.0,-12.89,False,Large,False,False,False,True,True
1161706,Zepto,Mumbai,50,861,11,11.3,7,Personal Care,Cash on Delivery,2,0,4,2023-01-01 11:59:02,11,Sunday,2023-01,2023Q1,Juhu,DS_009,400049,R_216,140.6,0.0,0.0,0.38,327.18,393.22,45.67,False,Medium,True,True,False,False,True
1343522,Blinkit,Mumbai,20,914,18,13.9,12,Fruits & Vegetables,Credit Card,3,1,4,2023-01-01 12:04:16,12,Sunday,2023-01,2023Q1,Kurla,DS_005,400070,R_117,171.8,246.79,27.0,0.68,621.52,-126.11,-13.8,True,Large,False,False,False,True,True
1850475,Blinkit,Mumbai,21,1118,20,14.8,9,Dairy,UPI,3,1,3,2023-01-01 12:49:55,12,Sunday,2023-01,2023Q1,Kurla,DS_005,400070,R_110,182.6,68.97,6.2,0.62,693.16,173.27,15.5,True,Large,False,False,False,False,True
1340403,Zepto,Mumbai,25,271,8,2.8,19,Fruits & Vegetables,Wallet,4,0,4,2023-01-01 13:19:30,13,Sunday,2023-01,2023Q1,Kurla,DS_005,400070,R_115,38.6,0.0,0.0,0.68,184.28,48.12,17.76,True,Large,False,True,False,False,False
1749336,Zepto,Mumbai,56,284,12,8.0,18,Household,Debit Card,3,1,3,2023-01-01 13:19:34,13,Sunday,2023-01,2023Q1,Juhu,DS_009,400049,R_209,101.0,43.63,15.4,0.45,127.8,11.57,4.07,True,Large,False,True,False,False,True
1857423,Blinkit,Mumbai,23,497,17,7.7,6,Fruits & Vegetables,Credit Card,2,0,4,2023-01-01 13:33:20,13,Sunday,2023-01,2023Q1,Colaba,DS_012,400005,R_287,97.4,0.0,0.0,0.68,337.96,61.64,12.4,True,Medium,True,False,False,False,True
1982046,Blinkit,Mumbai,46,541,14,6.2,19,Household,Credit Card,5,1,4,2023-01-01 14:03:35,14,Sunday,2023-01,2023Q1,Navi Mumbai,DS_010,400703,R_241,79.4,100.5,18.6,0.45,243.45,117.65,21.75,False,Large,False,True,False,False,True
1670335,Zepto,Mumbai,19,50,10,8.8,1,Dairy,Wallet,3,0,3,2023-01-01 14:04:06,14,Sunday,2023-01,2023Q1,Andheri,DS_001,400053,R_020,110.6,0.0,0.0,0.62,31.0,-91.6,-183.2,False,Small,False,True,False,True,True
1575372,Blinkit,Mumbai,57,1199,18,12.4,6,Snacks,Credit Card,5,1,3,2023-01-01 14:32:54,14,Sunday,2023-01,2023Q1,Bandra,DS_002,400050,R_044,153.8,396.15,33.0,0.48,575.52,73.53,6.13,False,Medium,False,False,False,False,True
1638768,Zepto,Mumbai,55,1371,7,2.2,6,Personal Care,Credit Card,3,1,3,2023-01-01 15:19:30,15,Sunday,2023-01,2023Q1,Navi Mumbai,DS_010,400703,R_238,31.4,370.91,27.1,0.38,520.98,447.71,32.66,False,Medium,False,True,False,False,False
1765006,Zepto,Mumbai,19,1322,8,4.9,4,Fruits & Vegetables,Debit Card,2,1,4,2023-01-01 15:29:27,15,Sunday,2023-01,2023Q1,Bandra,DS_002,400050,R_041,63.8,120.83,9.1,0.68,898.96,238.41,18.03,False,Medium,True,True,False,False,True
